method,severity,mean_accuracy,mean_delta_vs_source,mean_delta_vs_tent,mean_update_ratio
bn_adapt,1,0.87012,0.015139999999999997,-0.0018000000000000017,1.0
bn_adapt,2,0.8475999999999999,0.07096,-0.002180000000000004,1.0
bn_adapt,3,0.81752,0.14916000000000001,-0.002000000000000024,1.0
bn_adapt,4,0.79826,0.17306,-0.0028400000000000205,1.0
bn_adapt,5,0.7640800000000001,0.23106,-0.002819999999999978,1.0
disagree_aware_mix,1,0.88034,0.02535999999999996,0.00841999999999996,0.8058789730072021
disagree_aware_mix,2,0.8466400000000001,0.06999999999999999,-0.0031400000000000095,0.7859884619712829
disagree_aware_mix,3,0.8006800000000001,0.13232000000000002,-0.018840000000000013,0.761016583442688
disagree_aware_mix,4,0.77886,0.15366,-0.022240000000000017,0.7503124952316285
disagree_aware_mix,5,0.7321,0.19907999999999998,-0.034799999999999984,0.732657277584076
eg_mix_batch,1,0.88148,0.02649999999999999,0.00955999999999999,0.4676837146282196
eg_mix_batch,2,0.8531000000000001,0.07646,0.0033199999999999896,0.5197739899158478
eg_mix_batch,3,0.81656,0.14820000000000003,-0.002960000000000007,0.5677305459976196
eg_mix_batch,4,0.79798,0.17278,-0.0031200000000000117,0.5847751200199127
eg_mix_batch,5,0.7575200000000001,0.2245,-0.009379999999999966,0.6251813173294067
eg_mix_sample,1,0.88086,0.02587999999999997,0.00893999999999997,0.47946898341178895
eg_mix_sample,2,0.8473599999999999,0.07071999999999998,-0.002420000000000022,0.5106268405914307
eg_mix_sample,3,0.80256,0.13420000000000004,-0.016959999999999996,0.5384918808937073
eg_mix_sample,4,0.7813399999999999,0.15614,-0.01976000000000002,0.5487755596637726
eg_mix_sample,5,0.73498,0.20196,-0.03191999999999997,0.5718123614788055
probe_commit_tent,1,0.8602399999999999,0.005259999999999998,-0.011680000000000001,0.13924050632911392
probe_commit_tent,2,0.78594,0.00930000000000002,-0.06383999999999998,0.10632911392405062
probe_commit_tent,3,0.6702199999999999,0.001859999999999995,-0.14930000000000004,0.03544303797468354
probe_commit_tent,4,0.6302,0.0050000000000000044,-0.1709,0.0860759493670886
probe_commit_tent,5,0.53404,0.0010199999999999988,-0.23285999999999998,0.0151898734177215
probe_commit_tent_loose,1,0.87148,0.016500000000000004,-0.00043999999999999595,0.3873417721518987
probe_commit_tent_loose,2,0.8109999999999999,0.03435999999999999,-0.038780000000000016,0.38734177215189874
probe_commit_tent_loose,3,0.70286,0.034500000000000045,-0.11665999999999999,0.2810126582278481
probe_commit_tent_loose,4,0.66098,0.03577999999999999,-0.14012000000000002,0.369620253164557
probe_commit_tent_loose,5,0.5919800000000001,0.05896000000000001,-0.17491999999999996,0.3822784810126582
source_mix_tent_075,1,0.8807600000000001,0.025780000000000004,0.008840000000000004,1.0
source_mix_tent_075,2,0.8574400000000001,0.08080000000000001,0.00766,1.0
source_mix_tent_075,3,0.8229200000000001,0.15456000000000003,0.003400000000000003,1.0
source_mix_tent_075,4,0.80518,0.17998,0.004079999999999995,1.0
source_mix_tent_075,5,0.76578,0.23275999999999994,-0.0011200000000000099,1.0
source_only,1,0.85498,0.0,-0.01694,0.0
source_only,2,0.77664,0.0,-0.07314000000000001,0.0
source_only,3,0.6683600000000001,0.0,-0.15116000000000002,0.0
source_only,4,0.6252,0.0,-0.1759,0.0
source_only,5,0.5330199999999999,0.0,-0.23388,0.0
tent,1,0.87192,0.01694,0.0,1.0
tent,2,0.84978,0.07314000000000001,0.0,1.0
tent,3,0.81952,0.15116000000000002,0.0,1.0
tent,4,0.8010999999999999,0.1759,0.0,1.0
tent,5,0.7668999999999999,0.23388,0.0,1.0
ug_tent,1,0.8718600000000001,0.016880000000000006,-5.9999999999993395e-05,0.8868
ug_tent,2,0.85014,0.07350000000000001,0.00036000000000000474,0.8728
ug_tent,3,0.81946,0.15109999999999998,-6.00000000000378e-05,0.85686
ug_tent,4,0.80122,0.17602,0.00011999999999998679,0.84914
ug_tent,5,0.76664,0.23362,-0.0002599999999999936,0.8266199999999999
